pensioner_id,name,dob,gender,join_date,retirement_date,years_of_service,monthly_pension,pension_type,lump_sum,region,last_contribution,spouse_count,beneficiary_name,payment_method,bank_account_mask,inflation_index,active_flag,created_at,age_at_retirement,pension_status,beneficiary_name_missing,data_issue_flag
P000001,Michael Martin,1973-12-22,M,1997-04-16,2030-07-10,33,735.61,Defined Benefit,0.0,West,2029-08-14,1,J***,Bank Transfer,****7396,1.0151,1,2023-11-11T17:10:25.588933,56.0,Active,0,1
P000002,Thomas Martinez,1936-11-29,F,1968-05-29,2005-09-29,37,1756.99,Defined Benefit,0.0,South,2004-03-16,0,Beneficiary Not Registered,Bank Transfer,****8513,1.0197,0,2024-05-12T17:10:25.589190,68.0,Active,1,1
P000003,Mary Martin,1944-11-18,M,1974-04-03,2005-12-07,31,1042.74,Defined Contribution,0.0,East,2005-05-16,0,Beneficiary Not Registered,Bank Transfer,****5297,1.0159,0,2023-03-08T17:10:25.589500,61.0,Active,1,1
P000004,Susan Thomas,1948-05-21,M,1974-05-09,2018-04-06,43,1844.33,Defined Benefit,0.0,North,2018-02-13,0,J***,Bank Transfer,****6258,1.0209,0,2021-09-27T17:10:25.589788,69.0,Active,0,1
P000005,Thomas Davis,1964-11-20,F,1987-03-19,2024-12-15,37,2172.51,Defined Benefit,60830.28,East,2024-11-18,1,J***,Bank Transfer,****9110,1.0298,0,2021-11-03T17:10:25.590267,60.0,Active,0,1
P000006,John Smith,1964-08-03,F,1988-08-24,2032-07-31,43,1107.71,Defined Contribution,0.0,East,2031-01-25,0,Beneficiary Not Registered,Bank Transfer,****5636,1.0172,1,2023-01-03T17:10:25.590600,68.0,Active,1,1
P000007,Richard Miller,1946-11-17,M,1966-09-24,2014-05-27,47,1227.03,Defined Benefit,0.0,North,2012-08-20,0,Beneficiary Not Registered,Bank Transfer,****2306,1.0177,0,2024-03-05T17:10:25.590843,67.0,Active,1,1
P000008,Karen Gonzalez,1970-04-15,F,1995-05-24,2033-02-10,37,1061.49,Defined Benefit,30783.21,South,2031-04-06,2,Beneficiary Not Registered,Bank Transfer,****8554,1.0291,1,2022-10-18T17:10:25.591153,62.0,Active,1,1
P000009,Robert Taylor,1975-11-27,M,1994-06-29,2035-06-24,41,1190.12,Defined Benefit,0.0,East,2034-06-05,1,J***,Bank Transfer,****1197,1.0158,1,2023-03-22T17:10:25.591506,59.0,Active,0,1
P000010,David Thomas,1967-09-24,F,1990-12-25,2035-06-28,44,1915.0,Defined Benefit,26810.0,South,2034-05-22,1,S***,Bank Transfer,****7287,1.0261,1,2024-12-17T17:10:25.591832,67.0,Active,0,1
P000011,Jessica Martin,1956-09-17,F,1974-07-13,2025-06-13,50,1523.95,Defined Benefit,0.0,West,2024-03-18,1,Beneficiary Not Registered,Bank Transfer,****2648,1.0278,0,2021-12-15T17:10:25.592107,68.0,Active,1,1
P000012,Jennifer Davis,1959-11-11,F,1993-03-26,2022-02-01,28,2826.31,Defined Benefit,0.0,North,2021-09-02,0,Beneficiary Not Registered,Bank Transfer,****2218,1.0247,0,2024-10-23T17:10:25.592404,62.0,Active,1,1
P000013,James Thomas,1938-11-03,F,1970-08-26,1998-06-05,27,2184.2,Defined Benefit,0.0,East,1997-06-06,1,J***,Bank Transfer,****8679,1.0197,0,2025-11-11T17:10:25.592739,59.0,Active,0,1
P000014,Barbara Wilson,1972-07-04,M,1997-08-03,2034-06-02,36,2927.55,Defined Contribution,99536.7,West,2033-01-22,0,E***,Bank Transfer,****4863,1.0355,1,2024-03-12T17:10:25.593050,61.0,Active,0,1
P000015,Joseph Johnson,1945-06-02,F,1978-09-05,2000-06-15,21,868.93,Defined Contribution,0.0,Central,1999-10-14,1,R***,Bank Transfer,****7655,1.0106,0,2024-10-24T17:10:25.593392,55.0,Active,0,1
P000016,Susan Lopez,1971-05-08,M,1991-04-29,2039-06-10,48,1739.93,Defined Benefit,34798.6,North,2037-08-15,1,Beneficiary Not Registered,Bank Transfer,****1004,1.0214,1,2022-10-28T17:10:25.593688,68.0,Active,1,1
P000017,Patricia Garcia,1937-02-12,M,1969-11-21,2004-01-31,34,1456.83,Defined Contribution,0.0,North,2002-05-06,0,Beneficiary Not Registered,Bank Transfer,****1512,1.0001,0,2021-01-18T17:10:25.594053,67.0,Active,1,1
P000018,Mary Thomas,1942-07-01,M,1974-12-28,2004-05-19,29,2062.18,Defined Benefit,0.0,North,2003-02-28,0,J***,Bank Transfer,****7617,1.0154,0,2024-09-22T17:10:25.594511,61.0,Active,0,1
P000019,Michael Brown,1942-02-06,F,1963-02-23,2006-06-26,43,1928.64,Defined Benefit,0.0,East,2006-03-19,0,M***,Direct Deposit,****7303,1.0153,0,2021-10-21T17:10:25.594876,64.0,Active,0,1
P000020,Karen Lopez,1950-11-30,M,1969-10-16,2016-07-18,46,2215.73,Defined Contribution,39883.14,South,2015-10-25,0,Beneficiary Not Registered,Bank Transfer,****9967,1.0189,0,2024-04-02T17:10:25.595151,65.0,Active,1,1
P000021,Elizabeth Johnson,1945-09-08,M,1967-01-16,2001-12-30,34,1664.81,Defined Contribution,0.0,West,2001-10-17,1,Beneficiary Not Registered,Bank Transfer,****6073,1.0258,0,2023-02-23T17:10:25.595450,56.0,Active,1,1
P000022,Michael Jones,1944-10-12,M,1964-07-06,1998-11-29,34,1430.72,Defined Contribution,0.0,Central,1997-04-13,0,S***,Bank Transfer,****6486,1.0295,0,2025-07-07T17:10:25.595812,54.0,Active,0,1
P000023,Robert Williams,1959-09-12,F,1981-03-24,2020-01-18,38,2525.47,Defined Contribution,0.0,West,2018-06-29,1,L***,Bank Transfer,****7938,1.024,0,2024-03-04T17:10:25.596138,60.0,Active,0,1
P000024,Mary Jones,1956-01-17,F,1981-05-20,2022-12-07,41,1875.95,Defined Benefit,0.0,South,2021-07-26,0,Beneficiary Not Registered,Bank Transfer,****5268,1.0181,0,2024-02-14T17:10:25.596408,66.0,Active,1,1
P000025,Sarah Martin,1939-11-15,F,1959-10-23,2008-03-16,48,1061.23,Defined Benefit,0.0,Central,2007-09-08,1,J***,Direct Deposit,****7190,1.0195,0,2022-06-20T17:10:25.596758,68.0,Active,0,1
P000026,Thomas Wilson,1947-01-27,M,1967-11-08,2007-01-23,39,2275.92,Defined Benefit,70553.52,North,2006-02-28,0,P***,Bank Transfer,****7132,1.0119,0,2021-02-14T17:10:25.597091,60.0,Active,0,1
P000027,Richard Thomas,1941-09-01,M,1965-04-11,1998-04-30,33,1551.91,Defined Contribution,0.0,North,1996-05-22,0,Beneficiary Not Registered,Direct Deposit,****8449,1.0383,0,2025-09-26T17:10:25.597376,56.0,Active,1,1
P000028,Thomas Gonzalez,1937-08-09,F,1955-09-13,2007-12-22,52,2082.1,Defined Contribution,0.0,North,2006-09-03,0,C***,Bank Transfer,****6565,1.0205,0,2024-09-05T17:10:25.597670,70.0,Active,0,1
P000029,Thomas Davis,1960-05-04,F,1985-10-30,2023-12-24,38,2450.19,Defined Benefit,0.0,North,2022-02-19,1,J***,Cheque,****5673,1.0191,0,2025-09-14T17:10:25.597983,63.0,Active,0,1
P000030,Charles Miller,1940-08-04,M,1963-05-31,1996-06-20,33,1952.24,Defined Benefit,0.0,East,1995-04-13,1,Beneficiary Not Registered,Bank Transfer,****7327,1.0272,0,2022-01-03T17:10:25.598250,55.0,Active,1,1
P000031,Elizabeth Taylor,1945-08-02,M,1968-01-24,2004-09-08,36,2309.07,Defined Benefit,69272.1,East,2003-06-17,0,Beneficiary Not Registered,Bank Transfer,****9472,1.0056,0,2022-07-28T17:10:25.598515,59.0,Active,1,1
P000032,John Moore,1959-09-05,F,1981-12-08,2026-07-01,44,1186.36,Defined Benefit,0.0,North,2025-01-14,1,Beneficiary Not Registered,Bank Transfer,****7493,1.0181,1,2025-08-13T17:10:25.598742,66.0,Active,1,1
P000033,Jessica Taylor,1946-05-08,M,1972-01-16,2003-01-01,30,1181.09,Defined Benefit,0.0,South,2001-02-09,1,C***,Bank Transfer,****1918,1.0077,0,2023-11-09T17:10:25.599001,56.0,Active,0,1
P000034,David Anderson,1936-04-01,M,1958-04-10,2006-12-05,48,1843.97,Defined Contribution,64538.95,West,2005-08-08,1,Beneficiary Not Registered,Cheque,****7371,1.0071,0,2025-08-09T17:10:25.599262,70.0,Active,1,1
P000035,Mary Anderson,1965-07-24,F,1992-09-14,2024-12-08,32,2130.47,Defined Benefit,0.0,North,2023-01-17,0,J***,Direct Deposit,****4517,1.0391,0,2024-12-13T17:10:25.599596,59.0,Active,0,1
P000036,William Williams,1956-07-03,F,1979-05-15,2013-09-01,34,2818.07,Defined Contribution,0.0,South,2013-08-29,1,P***,Bank Transfer,****5208,1.0193,0,2025-07-11T17:10:25.599860,57.0,Active,0,1
P000037,Joseph Smith,1960-01-13,M,1980-09-22,2015-11-19,35,2398.8,Defined Benefit,0.0,North,2015-11-10,0,J***,Bank Transfer,****8984,1.0398,0,2021-07-07T17:10:25.600121,55.0,Active,0,1
P000038,Barbara Moore,1940-02-05,F,1966-09-08,1997-07-21,30,1795.22,Defined Contribution,25133.08,West,1996-02-25,1,C***,Bank Transfer,****5227,1.0358,0,2024-04-06T17:10:25.600395,57.0,Active,0,1
P000039,Richard Martinez,1951-02-02,F,1975-10-04,2019-12-07,44,1960.64,Defined Benefit,0.0,South,2018-03-11,1,Beneficiary Not Registered,Bank Transfer,****2970,1.0116,0,2025-05-14T17:10:25.600648,68.0,Active,1,1
P000040,Jennifer Williams,1960-09-25,M,1987-12-10,2017-09-25,29,1793.11,Defined Contribution,0.0,South,2016-01-12,0,Beneficiary Not Registered,Bank Transfer,****3645,1.0427,0,2021-09-04T17:10:25.600897,57.0,Active,1,1
P000041,Robert Martinez,1949-01-09,F,1980-08-16,2015-07-27,34,2909.78,Defined Benefit,0.0,North,2013-08-31,1,D***,Direct Deposit,****7166,1.0218,0,2023-09-05T17:10:25.601164,66.0,Active,0,1
P000042,Susan Hernandez,1941-04-15,M,1965-11-04,2004-12-12,39,2352.87,Defined Contribution,0.0,East,2003-04-07,1,S***,Direct Deposit,****2792,1.0259,0,2023-09-06T17:10:25.601428,63.0,Active,0,1
P000043,Robert Wilson,1942-08-21,M,1961-03-05,2000-05-28,39,1776.8,Defined Contribution,24875.2,South,1999-03-25,1,Beneficiary Not Registered,Bank Transfer,****9666,1.0157,0,2024-10-06T17:10:25.601700,57.0,Active,1,1
P000044,Thomas Hernandez,1936-05-06,M,1959-10-27,1996-09-03,36,2292.18,Defined Benefit,59596.68,Central,1996-03-27,0,L***,Bank Transfer,****2759,1.0016,0,2022-09-20T17:10:25.602002,60.0,Active,0,1
P000045,Charles Jackson,1949-04-28,F,1983-06-22,2016-01-22,32,1694.86,Defined Contribution,0.0,South,2015-09-01,0,P***,Bank Transfer,****9038,1.0211,0,2021-05-06T17:10:25.602266,66.0,Active,0,1
P000046,Elizabeth Martinez,1971-10-17,M,1989-01-06,2033-01-19,44,1957.27,Defined Benefit,0.0,East,2032-07-26,1,R***,Direct Deposit,****4675,1.0302,1,2023-02-25T17:10:25.602522,61.0,Active,0,1
P000047,Linda Johnson,1968-01-06,F,1998-10-12,2030-04-25,31,1182.69,Defined Benefit,0.0,West,2029-01-29,0,Beneficiary Not Registered,Bank Transfer,****5177,1.011,1,2024-07-02T17:10:25.602775,62.0,Active,1,1
P000048,James Anderson,1960-08-12,M,1987-08-26,2017-11-11,30,1902.54,Defined Benefit,0.0,South,2017-07-16,1,Beneficiary Not Registered,Bank Transfer,****3679,1.0059,0,2025-09-30T17:10:25.603013,57.0,Active,1,1
